DATA ENTRADA;DATA ULTIMA SAIDA;;LOJA/FILIAL;;;ADULTO/INFANTIL;;;GENERO;NUMERACAO/CALC;;ENTRADA ESTOQUE;TOTAL DE SAIDA;ID_PROD;NOME PROD;COLEÇÃO;;;VALOR UNITARIO;VALOR REPASSE
02/01/2017;16/01/2017;14;franquia;;;infantil;;;feminino;21;;214;43;7237;BLUSA HAVAIANAS TS QUADRADA             ;outono;;; R$ 16,00 ; R$ 26,90 
02/01/2017;14/01/2017;12;Infantil;;;infantil;;;unisex;25;;302;74;8243;SACOLA HAVAIANAS ORIGINAL RIO           ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2017;29/01/2017;27;Infantil;;;adulto;;;unisex;34;;320;46;5215;BIQUINI BOTTOM HAVAIANAS ARGOLA BRO     ;verao;;; R$ 16,90 ; R$ 25,90 
02/01/2017;05/02/2017;34;franquia;;;infantil;;;feminino;13;;304;95;5217;BIQUINI BOTTOM HAVAIANAS SUNSET       ;verao;;; R$ 17,90 ; R$ 26,90 
02/01/2017;08/02/2017;37;Infantil;;;infantil;;;unisex;13;;208;36;7240;BLUSA M/C HAVAIANAS JAPONESA            ;outono;;; R$ 21,90 ; R$ 36,90 
02/01/2017;08/01/2017;6;franquia;;;infantil;;;feminino;22;;210;93;7237;BLUSA HAVAIANAS TS QUADRADA             ;outono;;; R$ 16,00 ; R$ 26,90 
02/01/2017;24/01/2017;22;Infantil;;;adulto;;;unisex;43;;85;66;7229;BLUSA HAVAIANAS TS REDE CESTARIA        ;outono;;; R$ 16,90 ; R$ 26,90 
02/01/2020;21/01/2020;19;franquia;;;adulto;;;unisex;43;;271;93;6221;SANDALIA HAVAIANAS JOY         ;inverno;;; R$ 20,90 ; R$ 36,90 
02/01/2017;14/01/2017;12;franquia;;;adulto;;;unisex;39;;119;36;8247;CHAVEIRO HAVAIANAS LOGO METALICO        ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2017;01/02/2017;30;franquia;;;adulto;;;masculino;37;;91;63;7237;BLUSA HAVAIANAS TS QUADRADA             ;outono;;; R$ 16,00 ; R$ 26,90 
02/01/2017;15/01/2017;13;Infantil;;;infantil;;;feminino;15;;293;37;7240;BLUSA M/C HAVAIANAS JAPONESA            ;outono;;; R$ 21,90 ; R$ 36,90 
02/01/2017;10/01/2017;8;Infantil;;;adulto;;;unisex;34;;208;75;5217;BIQUINI BOTTOM HAVAIANAS SUNSET       ;verao;;; R$ 17,90 ; R$ 26,90 
02/01/2017;09/02/2017;38;Infantil;;;adulto;;;masculino;45;;207;74;8252;CHAVEIRO HAVAIANAS ORIGINE              ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2017;03/02/2017;32;franquia;;;adulto;;;feminino;40;;100;61;7231;BLUSA HAVAIANAS OMBRO DESL REDE CESTARIA;outono;;; R$ 16,90 ; R$ 26,90 
02/01/2017;26/01/2017;24;franquia;;;adulto;;;unisex;37;;128;59;8251;CHAVEIRO HAVAIANAS CRYSTAL              ;edição limitada;;; R$ 32,90 ; R$ 42,90 
02/01/2017;13/01/2017;11;franquia;;;infantil;;;unisex;23;;51;58;7238;BLUSA HAVAIANAS VOL LAT DEGRADE ARROZ   ;outono;;; R$ 21,90 ; R$ 36,90 
02/01/2017;12/01/2017;10;franquia;;;adulto;;;feminino;43;;119;48;5215;BIQUINI BOTTOM HAVAIANAS ARGOLA BRO     ;verao;;; R$ 16,90 ; R$ 25,90 
02/01/2017;06/01/2017;4;Infantil;;;adulto;;;masculino;40;;288;71;7230;BLUSA HAVAIANAS ASSIM MIX REDE CESTARIA ;outono;;; R$ 21,90 ; R$ 32,90 
02/01/2017;17/01/2017;15;franquia;;;adulto;;;unisex;31;;256;66;5215;BIQUINI BOTTOM HAVAIANAS ARGOLA BRO     ;verao;;; R$ 16,90 ; R$ 25,90 
02/01/2017;18/01/2017;16;Infantil;;;infantil;;;feminino;13;;299;51;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
02/01/2017;04/02/2017;33;Infantil;;;adulto;;;feminino;33;;70;61;5215;BIQUINI BOTTOM HAVAIANAS ARGOLA BRO     ;verao;;; R$ 16,90 ; R$ 25,90 
02/01/2020;01/02/2020;30;Infantil;;;infantil;;;masculino;26;;288;55;6222;SANDALIA HAVAIANAS BABY ESTAMPAS        ;inverno;;; R$ 20,90 ; R$ 36,90 
02/01/2020;05/01/2020;3;Infantil;;;infantil;;;masculino;14;;128;39;6224;SANDALIA HAVAIANAS KIDS FLORES;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2017;02/02/2017;31;franquia;;;infantil;;;masculino;21;;311;77;7236;BLUSA HAVAIANAS EVASE                   ;outono;;; R$ 21,90 ; R$ 32,90 
02/01/2017;08/01/2017;6;franquia;;;adulto;;;feminino;39;;64;65;8242;SACOLA HAVAIANAS ORIGINAL COQUEIRO      ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2017;08/01/2017;6;franquia;;;adulto;;;masculino;30;;120;55;8246;BOLSA HAVAIANAS SHOPPING BAG            ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2017;18/01/2017;16;franquia;;;infantil;;;unisex;25;;175;64;7239;BLUSA HAVAIANAS PELERINE                ;outono;;; R$ 16,00 ; R$ 26,90 
02/01/2017;30/01/2017;28;franquia;;;adulto;;;feminino;39;;246;64;7236;BLUSA HAVAIANAS EVASE                   ;outono;;; R$ 21,90 ; R$ 32,90 
02/01/2017;24/01/2017;22;Infantil;;;adulto;;;unisex;41;;109;36;8253;CHAVEIRO HAVAIANAS LOGO                 ;edição limitada;;; R$ 32,90 ; R$ 42,90 
02/01/2020;11/01/2020;9;franquia;;;adulto;;;feminino;37;;339;38;6224;SANDALIA HAVAIANAS KIDS FLORES;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2020;11/01/2020;9;franquia;;;adulto;;;unisex;42;;144;96;6222;SANDALIA HAVAIANAS BABY ESTAMPAS        ;inverno;;; R$ 20,90 ; R$ 36,90 
02/01/2020;12/01/2020;10;franquia;;;infantil;;;unisex;10;;192;59;6226;SANDALIA HAVAIANAS KIDS RADICAL         ;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2017;02/02/2017;31;Infantil;;;infantil;;;masculino;27;;62;88;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
02/01/2020;31/01/2020;29;franquia;;;infantil;;;feminino;17;;163;55;6224;SANDALIA HAVAIANAS KIDS FLORES;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2017;24/01/2017;22;Infantil;;;infantil;;;unisex;17;;71;73;5217;BIQUINI BOTTOM HAVAIANAS SUNSET       ;verao;;; R$ 17,90 ; R$ 26,90 
02/01/2017;31/01/2017;29;franquia;;;infantil;;;feminino;12;;270;64;5215;BIQUINI BOTTOM HAVAIANAS ARGOLA BRO     ;verao;;; R$ 16,90 ; R$ 25,90 
02/01/2020;01/02/2020;30;franquia;;;adulto;;;unisex;34;;225;52;6228;SANDALIA HAVAIANAS TROPICAL C/ KIT      ;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2017;06/02/2017;35;franquia;;;infantil;;;masculino;29;;261;96;7241;BLUSA HAVAIANAS QUADRADO DEC ABERTO     ;outono;;; R$ 21,90 ; R$ 32,90 
02/01/2017;14/01/2017;12;franquia;;;infantil;;;unisex;25;;272;58;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
02/01/2017;26/01/2017;24;Infantil;;;infantil;;;unisex;11;;114;87;7238;BLUSA HAVAIANAS VOL LAT DEGRADE ARROZ   ;outono;;; R$ 21,90 ; R$ 36,90 
02/01/2017;31/01/2017;29;Infantil;;;adulto;;;unisex;37;;223;45;7234;BLUSA HAVAIANAS TRANSPASSADO MIX        ;outono;;; R$ 16,00 ; R$ 26,90 
02/01/2017;15/01/2017;13;franquia;;;infantil;;;masculino;29;;74;94;5217;BIQUINI BOTTOM HAVAIANAS SUNSET       ;verao;;; R$ 17,90 ; R$ 26,90 
02/01/2017;21/01/2017;19;franquia;;;infantil;;;masculino;15;;128;49;7237;BLUSA HAVAIANAS TS QUADRADA             ;outono;;; R$ 16,00 ; R$ 26,90 
02/01/2017;05/01/2017;3;franquia;;;infantil;;;masculino;27;;192;53;5217;BIQUINI BOTTOM HAVAIANAS SUNSET       ;verao;;; R$ 17,90 ; R$ 26,90 
02/01/2017;05/01/2017;3;franquia;;;adulto;;;masculino;39;;339;64;7237;BLUSA HAVAIANAS TS QUADRADA             ;outono;;; R$ 16,00 ; R$ 26,90 
02/01/2017;01/02/2017;30;franquia;;;adulto;;;masculino;45;;312;96;5216;BIQUINI BOTTOM HAVAIANAS SUNSET PREM;verao;;; R$ 21,90 ; R$ 32,90 
02/01/2020;04/01/2020;2;Infantil;;;infantil;;;feminino;21;;127;78;6227;SANDALIA HAVAIANAS KIDS MONSTERS        ;inverno;;; R$ 20,90 ; R$ 36,90 
02/01/2017;05/01/2017;3;Infantil;;;adulto;;;masculino;32;;213;69;7239;BLUSA HAVAIANAS PELERINE                ;outono;;; R$ 16,00 ; R$ 26,90 
02/01/2017;24/01/2017;22;franquia;;;adulto;;;unisex;45;;67;78;5219;BIQUINI BOTTOM HAVAIANAS TREN;verao;;; R$ 16,00 ; R$ 26,90 
02/01/2017;07/01/2017;5;franquia;;;infantil;;;feminino;20;;280;76;5220;BIQUINI BOTTOM HAVAIANAS HIBISCO GI     ;verao;;; R$ 16,00 ; R$ 25,90 
02/01/2017;29/01/2017;27;franquia;;;infantil;;;feminino;27;;342;67;7236;BLUSA HAVAIANAS EVASE                   ;outono;;; R$ 21,90 ; R$ 32,90 
02/01/2017;08/01/2017;6;franquia;;;adulto;;;masculino;41;;112;79;7235;BLUSA HAVAIANAS Y MIX                   ;outono;;; R$ 21,90 ; R$ 36,90 
02/01/2017;21/01/2017;19;Infantil;;;infantil;;;feminino;26;;292;81;7232;BLUSA HAVAIANAS EVASE ONDA NOVA         ;outono;;; R$ 19,90 ; R$ 26,90 
02/01/2020;07/01/2020;5;Infantil;;;infantil;;;unisex;20;;97;46;6221;SANDALIA HAVAIANAS JOY         ;inverno;;; R$ 20,90 ; R$ 36,90 
02/01/2017;11/01/2017;9;franquia;;;infantil;;;unisex;14;;186;61;7240;BLUSA M/C HAVAIANAS JAPONESA            ;outono;;; R$ 21,90 ; R$ 36,90 
02/01/2020;19/01/2020;17;Infantil;;;infantil;;;feminino;12;;191;53;6227;SANDALIA HAVAIANAS KIDS MONSTERS        ;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2017;26/01/2017;24;franquia;;;infantil;;;unisex;26;;76;77;8247;CHAVEIRO HAVAIANAS LOGO METALICO        ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2017;22/01/2017;20;franquia;;;infantil;;;masculino;18;;83;80;7231;BLUSA HAVAIANAS OMBRO DESL REDE CESTARIA;outono;;; R$ 16,90 ; R$ 26,90 
02/01/2020;14/01/2020;12;Infantil;;;adulto;;;masculino;36;;132;59;6222;SANDALIA HAVAIANAS BABY ESTAMPAS        ;inverno;;; R$ 20,90 ; R$ 36,90 
02/01/2017;14/01/2017;12;Infantil;;;infantil;;;feminino;18;;72;36;8248;TOALHA HAVAIANAS LOGO VELUDO M          ;edição limitada;;; R$ 32,90 ; R$ 42,90 
02/01/2017;31/01/2017;29;Infantil;;;adulto;;;unisex;46;;71;86;5219;BIQUINI BOTTOM HAVAIANAS TREN;verao;;; R$ 16,00 ; R$ 26,90 
02/01/2017;09/01/2017;7;franquia;;;adulto;;;unisex;43;;177;54;8246;BOLSA HAVAIANAS SHOPPING BAG            ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2020;05/01/2020;3;franquia;;;infantil;;;masculino;26;;308;93;6222;SANDALIA HAVAIANAS BABY ESTAMPAS        ;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2017;26/01/2017;24;Infantil;;;adulto;;;masculino;30;;149;69;7236;BLUSA HAVAIANAS EVASE                   ;outono;;; R$ 21,90 ; R$ 32,90 
02/01/2017;05/02/2017;34;Infantil;;;infantil;;;unisex;29;;203;88;8243;SACOLA HAVAIANAS ORIGINAL RIO           ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2020;04/02/2020;33;franquia;;;adulto;;;feminino;46;;158;63;6225;SANDALIA HAVAIANAS KIDS STARS;inverno;;; R$ 20,90 ; R$ 36,90 
02/01/2017;09/01/2017;7;Infantil;;;infantil;;;unisex;13;;182;94;5219;BIQUINI BOTTOM HAVAIANAS TREN;verao;;; R$ 16,00 ; R$ 26,90 
02/01/2017;22/01/2017;20;Infantil;;;adulto;;;feminino;41;;117;52;5219;BIQUINI BOTTOM HAVAIANAS TREN;verao;;; R$ 16,00 ; R$ 26,90 
02/01/2017;02/02/2017;31;franquia;;;infantil;;;unisex;18;;319;77;8252;CHAVEIRO HAVAIANAS ORIGINE              ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2017;05/02/2017;34;Infantil;;;infantil;;;masculino;20;;297;65;8264;BÓIA HAVAIANAS INFLÁVEL                 ;edição limitada;;; R$ 32,90 ; R$ 42,90 
02/01/2020;07/01/2020;5;Infantil;;;infantil;;;unisex;25;;60;41;6227;SANDALIA HAVAIANAS KIDS MONSTERS        ;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2017;06/01/2017;4;franquia;;;infantil;;;unisex;29;;284;53;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
02/01/2017;05/02/2017;34;franquia;;;infantil;;;masculino;27;;129;38;7235;BLUSA HAVAIANAS Y MIX                   ;outono;;; R$ 21,90 ; R$ 36,90 
02/01/2017;20/01/2017;18;franquia;;;adulto;;;masculino;37;;348;87;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
02/01/2017;27/01/2017;25;Infantil;;;adulto;;;unisex;35;;325;37;5215;BIQUINI BOTTOM HAVAIANAS ARGOLA BRO     ;verao;;; R$ 16,90 ; R$ 25,90 
02/01/2017;05/01/2017;3;franquia;;;infantil;;;feminino;16;;295;43;8255;MEIA HAVAIANAS GRAPHIC                  ;edição limitada;;; R$ 32,90 ; R$ 42,90 
02/01/2017;28/01/2017;26;Infantil;;;infantil;;;unisex;25;;293;72;8246;BOLSA HAVAIANAS SHOPPING BAG            ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2017;01/02/2017;30;franquia;;;infantil;;;unisex;25;;262;92;8248;TOALHA HAVAIANAS LOGO VELUDO M          ;edição limitada;;; R$ 32,90 ; R$ 42,90 
02/01/2017;14/01/2017;12;Infantil;;;adulto;;;unisex;44;;290;57;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
02/01/2020;17/01/2020;15;Infantil;;;adulto;;;feminino;33;;135;55;6227;SANDALIA HAVAIANAS KIDS MONSTERS        ;inverno;;; R$ 25,90 ; R$ 36,90 
02/01/2017;16/01/2017;14;franquia;;;adulto;;;feminino;37;;73;64;8248;TOALHA HAVAIANAS LOGO VELUDO M          ;edição limitada;;; R$ 32,90 ; R$ 42,90 
02/01/2017;01/02/2017;30;Infantil;;;adulto;;;unisex;43;;91;57;8255;MEIA HAVAIANAS GRAPHIC                  ;edição limitada;;; R$ 32,90 ; R$ 42,90 
02/01/2017;13/01/2017;11;franquia;;;adulto;;;feminino;42;;251;81;7239;BLUSA HAVAIANAS PELERINE                ;outono;;; R$ 16,00 ; R$ 26,90 
02/01/2017;02/02/2017;31;Infantil;;;infantil;;;feminino;29;;98;58;5220;BIQUINI BOTTOM HAVAIANAS HIBISCO GI     ;verao;;; R$ 16,00 ; R$ 25,90 
02/01/2020;25/01/2020;23;Infantil;;;infantil;;;masculino;26;;73;63;6222;SANDALIA HAVAIANAS BABY ESTAMPAS        ;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2017;18/01/2017;16;Infantil;;;infantil;;;masculino;26;;95;86;7232;BLUSA HAVAIANAS EVASE ONDA NOVA         ;outono;;; R$ 19,90 ; R$ 26,90 
02/01/2017;08/02/2017;37;Infantil;;;infantil;;;feminino;23;;326;38;8250;TOALHA HAVAIANAS VELUDO BICOLOR M       ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2017;14/01/2017;12;Infantil;;;infantil;;;feminino;22;;147;54;5217;BIQUINI BOTTOM HAVAIANAS SUNSET       ;verao;;; R$ 17,90 ; R$ 26,90 
02/01/2017;15/01/2017;13;Infantil;;;infantil;;;unisex;15;;317;38;7238;BLUSA HAVAIANAS VOL LAT DEGRADE ARROZ   ;outono;;; R$ 21,90 ; R$ 36,90 
02/01/2017;19/01/2017;17;franquia;;;infantil;;;feminino;16;;305;60;7232;BLUSA HAVAIANAS EVASE ONDA NOVA         ;outono;;; R$ 19,90 ; R$ 26,90 
02/01/2017;11/01/2017;9;franquia;;;adulto;;;masculino;31;;232;86;8245;MEIA HAVAIANAS DEDOS DIVERTIDOS         ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2017;24/01/2017;22;franquia;;;adulto;;;masculino;30;;272;84;8244;TOALHA HAVAIANAS FELPA P                ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2017;11/01/2017;9;Infantil;;;adulto;;;unisex;38;;239;43;7229;BLUSA HAVAIANAS TS REDE CESTARIA        ;outono;;; R$ 16,90 ; R$ 26,90 
02/01/2017;29/01/2017;27;franquia;;;infantil;;;unisex;21;;87;47;7234;BLUSA HAVAIANAS TRANSPASSADO MIX        ;outono;;; R$ 16,00 ; R$ 26,90 
02/01/2017;07/01/2017;5;franquia;;;infantil;;;masculino;15;;60;55;8250;TOALHA HAVAIANAS VELUDO BICOLOR M       ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2017;20/01/2017;18;Infantil;;;adulto;;;feminino;39;;283;61;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
02/01/2020;10/01/2020;8;franquia;;;adulto;;;feminino;34;;324;91;6223;SANDALIA HAVAIANAS PETS                 ;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2017;03/02/2017;32;franquia;;;infantil;;;unisex;10;;272;59;8258;TOALHA HAVAIANAS ANIMALS                ;edição limitada;;; R$ 32,90 ; R$ 42,90 
02/01/2017;05/01/2017;3;franquia;;;adulto;;;masculino;43;;311;59;8242;SACOLA HAVAIANAS ORIGINAL COQUEIRO      ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2020;13/01/2020;11;Infantil;;;infantil;;;unisex;25;;350;58;6222;SANDALIA HAVAIANAS BABY ESTAMPAS        ;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2017;08/02/2017;37;Infantil;;;infantil;;;masculino;21;;344;48;8257;MEIA HAVAIANAS FRESH                    ;edição limitada;;; R$ 32,90 ; R$ 42,90 
02/01/2017;16/01/2017;14;franquia;;;infantil;;;feminino;23;;318;79;5216;BIQUINI BOTTOM HAVAIANAS SUNSET PREM;verao;;; R$ 21,90 ; R$ 32,90 
02/01/2020;25/01/2020;23;Infantil;;;adulto;;;feminino;30;;243;46;6228;SANDALIA HAVAIANAS TROPICAL C/ KIT      ;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2017;23/01/2017;21;Infantil;;;adulto;;;unisex;44;;208;92;5219;BIQUINI BOTTOM HAVAIANAS TREN;verao;;; R$ 16,00 ; R$ 26,90 
02/01/2017;16/01/2017;14;franquia;;;infantil;;;feminino;28;;336;87;5220;BIQUINI BOTTOM HAVAIANAS HIBISCO GI     ;verao;;; R$ 16,00 ; R$ 25,90 
02/01/2020;17/01/2020;15;franquia;;;infantil;;;masculino;13;;197;47;6225;SANDALIA HAVAIANAS KIDS STARS;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2020;23/01/2020;21;Infantil;;;adulto;;;unisex;40;;148;40;6226;SANDALIA HAVAIANAS KIDS RADICAL         ;inverno;;; R$ 20,90 ; R$ 36,90 
02/01/2017;05/02/2017;34;Infantil;;;adulto;;;unisex;43;;202;95;5217;BIQUINI BOTTOM HAVAIANAS SUNSET       ;verao;;; R$ 17,90 ; R$ 26,90 
02/01/2017;06/02/2017;35;Infantil;;;adulto;;;feminino;37;;253;69;7240;BLUSA M/C HAVAIANAS JAPONESA            ;outono;;; R$ 21,90 ; R$ 36,90 
02/01/2020;10/01/2020;8;Infantil;;;adulto;;;unisex;31;;292;45;6224;SANDALIA HAVAIANAS KIDS FLORES;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2020;28/01/2020;26;franquia;;;adulto;;;feminino;46;;212;50;6228;SANDALIA HAVAIANAS TROPICAL C/ KIT      ;inverno;;; R$ 20,90 ; R$ 36,90 
02/01/2017;28/01/2017;26;franquia;;;adulto;;;unisex;38;;214;77;8266;TOALHA HAVAIANAS FUN N                  ;edição limitada;;; R$ 25,90 ; R$ 32,90 
02/01/2017;23/01/2017;21;franquia;;;adulto;;;unisex;37;;245;60;5216;BIQUINI BOTTOM HAVAIANAS SUNSET PREM;verao;;; R$ 21,90 ; R$ 32,90 
02/01/2020;28/01/2020;26;Infantil;;;infantil;;;feminino;19;;246;62;6226;SANDALIA HAVAIANAS KIDS RADICAL         ;inverno;;; R$ 20,90 ; R$ 36,90 
02/01/2020;09/01/2020;7;franquia;;;infantil;;;unisex;25;;340;37;6225;SANDALIA HAVAIANAS KIDS STARS;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2017;07/01/2017;5;franquia;;;adulto;;;feminino;37;;151;88;8256;CHAVEIRO HAVAIANAS LOGO METAL MOSQUETÃO ;edição limitada;;; R$ 32,90 ; R$ 42,90 
02/01/2017;07/02/2017;36;Infantil;;;infantil;;;masculino;24;;71;43;5216;BIQUINI BOTTOM HAVAIANAS SUNSET PREM;verao;;; R$ 21,90 ; R$ 32,90 
02/01/2020;26/01/2020;24;Infantil;;;infantil;;;feminino;25;;100;54;6222;SANDALIA HAVAIANAS BABY ESTAMPAS        ;inverno;;; R$ 20,90 ; R$ 36,90 
02/01/2020;23/01/2020;21;Infantil;;;adulto;;;masculino;37;;187;57;6223;SANDALIA HAVAIANAS PETS                 ;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2017;29/01/2017;27;Infantil;;;infantil;;;feminino;21;;300;78;7238;BLUSA HAVAIANAS VOL LAT DEGRADE ARROZ   ;outono;;; R$ 21,90 ; R$ 36,90 
02/01/2020;13/01/2020;11;franquia;;;infantil;;;masculino;17;;226;85;6221;SANDALIA HAVAIANAS JOY         ;inverno;;; R$ 20,90 ; R$ 36,90 
02/01/2017;07/02/2017;36;Infantil;;;infantil;;;unisex;12;;73;59;5216;BIQUINI BOTTOM HAVAIANAS SUNSET PREM;verao;;; R$ 21,90 ; R$ 32,90 
02/01/2017;08/01/2017;6;Infantil;;;infantil;;;masculino;17;;245;74;7239;BLUSA HAVAIANAS PELERINE                ;outono;;; R$ 16,00 ; R$ 26,90 
02/01/2017;17/01/2017;15;Infantil;;;infantil;;;masculino;19;;323;61;7241;BLUSA HAVAIANAS QUADRADO DEC ABERTO     ;outono;;; R$ 21,90 ; R$ 32,90 
02/01/2017;05/02/2017;34;franquia;;;infantil;;;unisex;17;;298;87;7234;BLUSA HAVAIANAS TRANSPASSADO MIX        ;outono;;; R$ 16,00 ; R$ 26,90 
